"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PRRT21",7.67732187130365e-07,0.305312566356758,0.926,0.803,0.00926575976647637,"2","PRRT2"
"SLC29A1",7.78746212261607e-07,0.313286815709804,0.395,0.161,0.00939868803578534,"2","SLC29A1"
"TMEM9",8.07413925818658e-07,0.262306097349633,0.704,0.358,0.00974467867070538,"2","TMEM9"
"GPSM1",8.3104546109326e-07,0.347061179387773,0.802,0.493,0.0100298876699346,"2","GPSM1"
"CCN1",8.32715272745789e-07,0.381345786599822,0.321,0.116,0.0100500406267689,"2","CCN1"
"MANBA",8.63920046100493e-07,0.28286741983195,0.506,0.227,0.0104266510363869,"2","MANBA"
"USF3",8.71865983782637e-07,0.327261539190403,0.506,0.234,0.0105225505582726,"2","USF3"
"ARHGEF25",8.83070855039008e-07,0.305761960318422,0.79,0.445,0.0106577821494658,"2","ARHGEF25"
"BRAF",8.87614645597316e-07,0.251882174255091,0.568,0.251,0.010712621157714,"2","BRAF"
"ANP32B",8.90454638765075e-07,0.315241956951322,0.395,0.157,0.0107468970352557,"2","ANP32B"
"ZNF189",9.02231007266592e-07,0.319356341105057,0.815,0.445,0.0108890260267005,"2","ZNF189"
"GPR137C1",9.11809226443646e-07,0.295010602906214,0.543,0.249,0.0110046255539484,"2","GPR137C"
"RSRC2",9.18819835262274e-07,0.327511334886792,0.988,0.941,0.0110892365917804,"2","RSRC2"
"ZNF445",9.19494526866359e-07,0.275422607670785,0.42,0.173,0.0110973794447501,"2","ZNF445"
"RASSF4",9.19879609066337e-07,0.252617041181199,0.543,0.247,0.0111020270018216,"2","RASSF4"
"MEIS1",9.23514518781091e-07,0.32620112382411,1,0.946,0.011145896727169,"2","MEIS1"
"REEP2",9.29237931750429e-07,0.256435626323396,0.37,0.14,0.0112149725982959,"2","REEP2"
"DHX30",9.47115469338552e-07,0.284928903927728,0.877,0.579,0.011430736599447,"2","DHX30"
"FBXL2",9.63319780566e-07,0.250201230911627,0.531,0.236,0.0116263064316511,"2","FBXL2"
"PPP1R9B",9.78432790091179e-07,0.28286741983195,0.519,0.234,0.0118087053436104,"2","PPP1R9B"
"PHF23",1.0040468645929e-06,0.280039529267797,0.568,0.268,0.0121178416087717,"2","PHF23"
"PUF60",1.00649152218899e-06,0.297614005201136,0.938,0.882,0.0121473461812989,"2","PUF60"
"GNAI1",1.02681695562924e-06,0.330321338939461,0.716,0.382,0.0123926538374893,"2","GNAI1"
"ZBTB4",1.06948114777751e-06,0.279912085836625,0.506,0.229,0.0129075679725268,"2","ZBTB4"
"AGO2",1.07150494894345e-06,0.346931519330537,0.765,0.454,0.0129319932287985,"2","AGO2"
"MLLT10",1.07349650004849e-06,0.281746879938034,0.358,0.137,0.0129560292590853,"2","MLLT10"
"MZT11",1.1383234211418e-06,0.250239118966558,0.679,0.327,0.0137384253697604,"2","MZT1"
"DNAJC4",1.17290760814307e-06,0.344056781733381,0.642,0.339,0.0141558219226787,"2","DNAJC4"
"NDUFA10",1.17973686138161e-06,0.29802191884959,0.802,0.45,0.0142382441800147,"2","NDUFA10"
